Username,Repo_Name,Stars,Repo_url
mrdoob,three.js,100000,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,26500,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22900,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,22700,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,19700,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,18200,https://github.com/FreeCAD/FreeCAD
lettier,3d-game-shaders-for-beginners,17300,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,16400,https://github.com/aframevr/aframe
CesiumGS,cesium,12300,https://github.com/CesiumGS/cesium
blender,blender,12100,https://github.com/blender/blender
MonoGame,MonoGame,11100,https://github.com/MonoGame/MonoGame
mapbox,mapbox-gl-js,10900,https://github.com/mapbox/mapbox-gl-js
isl-org,Open3D,10800,https://github.com/isl-org/Open3D
metafizzy,zdog,10300,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,9500,https://github.com/timzhang642/3D-Machine-Learning
nerfstudio-project,nerfstudio,8800,https://github.com/nerfstudio-project/nerfstudio
a1studmuffin,SpaceshipGenerator,7600,https://github.com/a1studmuffin/SpaceshipGenerator
FyroxEngine,Fyrox,7500,https://github.com/FyroxEngine/Fyrox
domlysz,BlenderGIS,7400,https://github.com/domlysz/BlenderGIS
4ian,GDevelop,7200,https://github.com/4ian/GDevelop
