Username,Repo_Name,Stars,Repo_url
public-apis,public-apis,297000,https://github.com/public-apis/public-apis
neovim,neovim,79400,https://github.com/neovim/neovim
tiangolo,fastapi,72900,https://github.com/tiangolo/fastapi
strapi,strapi,61400,https://github.com/strapi/strapi
hoppscotch,hoppscotch,61100,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,57300,https://github.com/ocornut/imgui
slatedocs,slate,35900,https://github.com/slatedocs/slate
QuivrHQ,quivr,33900,https://github.com/QuivrHQ/quivr
Kong,insomnia,33500,https://github.com/Kong/insomnia
trpc,trpc,33400,https://github.com/trpc/trpc
httpie,cli,32600,https://github.com/httpie/cli
ccxt,ccxt,31800,https://github.com/ccxt/ccxt
hasura,graphql-engine,30900,https://github.com/hasura/graphql-engine
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,27800,https://github.com/encode/django-rest-framework
YMFE,yapi,27200,https://github.com/YMFE/yapi
directus,directus,26400,https://github.com/directus/directus
littlecodersh,ItChat,25300,https://github.com/littlecodersh/ItChat
PostgREST,postgrest,22600,https://github.com/PostgREST/postgrest
microsoft,api-guidelines,22500,https://github.com/microsoft/api-guidelines
