Username,Repo_Name,Stars,Repo_url
ljianshu,Blog,7800,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7400,https://github.com/metafizzy/infinite-scroll
olifolkerd,tabulator,6400,https://github.com/olifolkerd/tabulator
developit,unfetch,5700,https://github.com/developit/unfetch
jquery-form,form,5200,https://github.com/jquery-form/form
Studio-42,elFinder,4600,https://github.com/Studio-42/elFinder
elbywan,wretch,4500,https://github.com/elbywan/wretch
dwyl,learn-to-send-email-via-google-script-html-no-server,3100,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
ded,reqwest,2900,https://github.com/ded/reqwest
wendux,ajax-hook,2500,https://github.com/wendux/ajax-hook
LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss
noelboss,featherlight,2100,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,1900,https://github.com/craftpip/jquery-confirm
k8w,tsrpc,1800,https://github.com/k8w/tsrpc
nette,tracy,1700,https://github.com/nette/tracy
taoensso,sente,1700,https://github.com/taoensso/sente
loadingio,css-spinner,1700,https://github.com/loadingio/css-spinner
joaomilho,Enterprise,1600,https://github.com/joaomilho/Enterprise
codingforentrepreneurs,eCommerce,1500,https://github.com/codingforentrepreneurs/eCommerce
MoOx,pjax,1400,https://github.com/MoOx/pjax
