Username,Repo_Name,Stars,Repo_url
jwasham,coding-interview-university,297000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,185000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,182000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,173000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,113000,https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,78500,https://github.com/krahets/hello-algo
kdn251,interviews,62600,https://github.com/kdn251/interviews
TheAlgorithms,Java,57500,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,54100,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,48500,https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,46400,https://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,33600,https://github.com/huihut/interview
halfrost,LeetCode-Go,32299,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,31700,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,29600,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,29000,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27100,https://github.com/crossoverJie/JCSprout
keon,algorithms,23700,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,22900,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,22700,https://github.com/trekhleb/homemade-machine-learning
