Username,Repo_Name,Stars,Repo_url
bregman-arie,devops-exercises,64599,https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,60000,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,52800,https://github.com/localstack/localstack
serverless,serverless,46300,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,26700,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,20900,https://github.com/sst/sst
pulumi,pulumi,20400,https://github.com/pulumi/pulumi
kubernetes-sigs,kubespray,15600,https://github.com/kubernetes-sigs/kubespray
getsops,sops,15500,https://github.com/getsops/sops
aws,aws-cli,15100,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14800,https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,12600,https://github.com/caprover/caprover
donnemartin,awesome-aws,12200,https://github.com/donnemartin/awesome-aws
GoogleCloudPlatform,terraformer,12100,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,11300,https://github.com/aws/aws-cdk
apereo,cas,10800,https://github.com/apereo/cas
aws,chalice,10500,https://github.com/aws/chalice
infracost,infracost,10400,https://github.com/infracost/infracost
milanm,DevOps-Roadmap,10300,https://github.com/milanm/DevOps-Roadmap
phidatahq,phidata,10300,https://github.com/phidatahq/phidata
