Username,Repo_Name,Stars,Repo_url
amphp,amp,4200,https://github.com/amphp/amp
danog,MadelineProto,2700,https://github.com/danog/MadelineProto
unreal4u,telegram-api,784,https://github.com/unreal4u/telegram-api
amphp,parallel,759,https://github.com/amphp/parallel
amphp,http-client,701,https://github.com/amphp/http-client
amphp,byte-stream,362,https://github.com/amphp/byte-stream
amphp,mysql,352,https://github.com/amphp/mysql
php-service-bus,service-bus,350,https://github.com/php-service-bus/service-bus
amphp,parallel-functions,268,https://github.com/amphp/parallel-functions
amphp,process,227,https://github.com/amphp/process
xtrime-ru,TelegramRSS,217,https://github.com/xtrime-ru/TelegramRSS
amphp,socket,216,https://github.com/amphp/socket
amphp,sync,157,https://github.com/amphp/sync
amphp,dns,154,https://github.com/amphp/dns
amphp,redis,153,https://github.com/amphp/redis
amphp,websocket-client,140,https://github.com/amphp/websocket-client
kelunik,acme,121,https://github.com/kelunik/acme
amphp,websocket-server,114,https://github.com/amphp/websocket-server
amphp,serialization,107,https://github.com/amphp/serialization
amphp,cache,97,https://github.com/amphp/cache
