Username,Repo_Name,Stars,Repo_url
bregman-arie,devops-exercises,64599,https://github.com/bregman-arie/devops-exercises
ansible,ansible,61700,https://github.com/ansible/ansible
trailofbits,algo,28500,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,26100,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23100,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,15600,https://github.com/kubernetes-sigs/kubespray
ansible,awx,13600,https://github.com/ansible/awx
easzlab,kubeasz,10200,https://github.com/easzlab/kubeasz
semaphoreui,semaphore,9600,https://github.com/semaphoreui/semaphore
netbootxyz,netboot.xyz,8400,https://github.com/netbootxyz/netboot.xyz
geerlingguy,ansible-for-devops,8200,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,7900,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,7800,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,5800,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5400,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,5000,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4600,https://github.com/clong/DetectionLab
ChristianLempa,boilerplates,3800,https://github.com/ChristianLempa/boilerplates
ansible,molecule,3800,https://github.com/ansible/molecule
dev-sec,ansible-collection-hardening,3800,https://github.com/dev-sec/ansible-collection-hardening
