Username,Repo_Name,Stars,Repo_url
arendst,Tasmota,21700,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,16000,https://github.com/MarlinFirmware/Marlin
tinygo-org,tinygo,14700,https://github.com/tinygo-org/tinygo
arduino,Arduino,14100,https://github.com/arduino/Arduino
rwaldron,johnny-five,13200,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,13000,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,12900,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,9800,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8800,https://github.com/hybridgroup/gobot
platformio,platformio-core,7700,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6600,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,6400,https://github.com/tzapu/WiFiManager
justcallmekoko,ESP32Marauder,4900,https://github.com/justcallmekoko/ESP32Marauder
olikraus,u8g2,4900,https://github.com/olikraus/u8g2
ClemensElflein,OpenMower,4600,https://github.com/ClemensElflein/OpenMower
omriharel,deej,4500,https://github.com/omriharel/deej
Arduino-IRremote,Arduino-IRremote,4400,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,4200,https://github.com/arduino/arduino-cli
hybridgroup,cylon,4200,https://github.com/hybridgroup/cylon
Serial-Studio,Serial-Studio,4200,https://github.com/Serial-Studio/Serial-Studio
