Username,Repo_Name,Stars,Repo_url
sindresorhus,awesome,308000,https://github.com/sindresorhus/awesome
vinta,awesome-python,211000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,185000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,136000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,124000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,87000,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,84900,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,79500,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,72800,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,68700,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,65500,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,63000,https://github.com/enaqx/awesome-react
sindresorhus,awesome-nodejs,56800,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,56800,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,56500,https://github.com/binhnguyennus/awesome-scalability
prakhar1989,awesome-courses,55100,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,52000,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,49600,https://github.com/wasabeef/awesome-android-ui
tiimgreen,github-cheat-sheet,46400,https://github.com/tiimgreen/github-cheat-sheet
vsouza,awesome-ios,46300,https://github.com/vsouza/awesome-ios
