Username,Repo_Name,Stars,Repo_url
bregman-arie,devops-exercises,64599,https://github.com/bregman-arie/devops-exercises
microsoft,generative-ai-for-beginners,48400,https://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,20400,https://github.com/pulumi/pulumi
recommenders-team,recommenders,18300,https://github.com/recommenders-team/recommenders
getsops,sops,15500,https://github.com/getsops/sops
ramitsurana,awesome-kubernetes,14800,https://github.com/ramitsurana/awesome-kubernetes
danny-avila,LibreChat,14700,https://github.com/danny-avila/LibreChat
Azure,azure-quickstart-templates,13800,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,12600,https://github.com/caprover/caprover
infracost,infracost,10400,https://github.com/infracost/infracost
milanm,DevOps-Roadmap,10300,https://github.com/milanm/DevOps-Roadmap
prowler-cloud,prowler,9900,https://github.com/prowler-cloud/prowler
google,go-cloud,9400,https://github.com/google/go-cloud
microsoft,computervision-recipes,9300,https://github.com/microsoft/computervision-recipes
budtmo,docker-android,8700,https://github.com/budtmo/docker-android
Netflix,metaflow,7800,https://github.com/Netflix/metaflow
microsoft,azuredatastudio,7500,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7200,https://github.com/midwayjs/midway
node-formidable,formidable,7000,https://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,6900,https://github.com/thangchung/clean-code-dotnet
