Username,Repo_Name,Stars,Repo_url
jlevy,the-art-of-command-line,151000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,77000,https://github.com/nvm-sh/nvm
junegunn,fzf,61500,https://github.com/junegunn/fzf
google,zx,42200,https://github.com/google/zx
starship,starship,42000,https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,38300,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,37400,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,36200,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,35400,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,31800,https://github.com/alebcay/awesome-shell
mathiasbynens,dotfiles,30000,https://github.com/mathiasbynens/dotfiles
jaywcjlove,linux-command,29600,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,24400,https://github.com/withfig/autocomplete
dylanaraps,neofetch,21500,https://github.com/dylanaraps/neofetch
kingToolbox,WindTerm,21300,https://github.com/kingToolbox/WindTerm
asdf-vm,asdf,21000,https://github.com/asdf-vm/asdf
warpdotdev,Warp,20100,https://github.com/warpdotdev/Warp
ajeetdsouza,zoxide,20100,https://github.com/ajeetdsouza/zoxide
Nyr,openvpn-install,18600,https://github.com/Nyr/openvpn-install
atuinsh,atuin,18500,https://github.com/atuinsh/atuin
