Username,Repo_Name,Stars,Repo_url
bitcoin,bitcoin,77000,https://github.com/bitcoin/bitcoin
ccxt,ccxt,31800,https://github.com/ccxt/ccxt
freqtrade,freqtrade,26200,https://github.com/freqtrade/freqtrade
bitcoinbook,bitcoinbook,23100,https://github.com/bitcoinbook/bitcoinbook
HelloZeroNet,ZeroNet,18200,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,12600,https://github.com/solana-labs/solana
bbfamily,abu,11500,https://github.com/bbfamily/abu
askmike,gekko,10000,https://github.com/askmike/gekko
dvf,blockchain,7700,https://github.com/dvf/blockchain
lightningnetwork,lnd,7500,https://github.com/lightningnetwork/lnd
spesmilo,electrum,7200,https://github.com/spesmilo/electrum
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
getumbrel,umbrel,6900,https://github.com/getumbrel/umbrel
yeasy,blockchain_guide,6700,https://github.com/yeasy/blockchain_guide
UFund-Me,Qbot,6400,https://github.com/UFund-Me/Qbot
btcpayserver,btcpayserver,6100,https://github.com/btcpayserver/btcpayserver
btcsuite,btcd,6100,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,5600,https://github.com/bitcoinjs/bitcoinjs-lib
jesse-ai,jesse,5400,https://github.com/jesse-ai/jesse
anders94,blockchain-demo,5100,https://github.com/anders94/blockchain-demo
