Username,Repo_Name,Stars,Repo_url
Genymobile,scrcpy,105000,https://github.com/Genymobile/scrcpy
neovim,neovim,79400,https://github.com/neovim/neovim
obsproject,obs-studio,57000,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,56800,https://github.com/fffaraz/awesome-cpp
git,git,50800,https://github.com/git/git
FFmpeg,FFmpeg,43500,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,40300,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,35500,https://github.com/vim/vim
curl,curl,34700,https://github.com/curl/curl
huihut,interview,33600,https://github.com/huihut/interview
mpv-player,mpv,26600,https://github.com/mpv-player/mpv
ggreer,the_silver_searcher,25900,https://github.com/ggreer/the_silver_searcher
ossrs,srs,24700,https://github.com/ossrs/srs
kovidgoyal,kitty,22600,https://github.com/kovidgoyal/kitty
google,flatbuffers,22500,https://github.com/google/flatbuffers
microsoft,vcpkg,22100,https://github.com/microsoft/vcpkg
ruby,ruby,21700,https://github.com/ruby/ruby
hashcat,hashcat,20300,https://github.com/hashcat/hashcat
raysan5,raylib,20300,https://github.com/raysan5/raylib
radareorg,radare2,19900,https://github.com/radareorg/radare2
