Username,Repo_Name,Stars,Repo_url
iamadamdev,bypass-paywalls-chrome,47600,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,29600,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,23500,https://github.com/refined-github/refined-github
openai-translator,openai-translator,23100,https://github.com/openai-translator/openai-translator
darkreader,darkreader,19000,https://github.com/darkreader/darkreader
dailydotdev,daily,17200,https://github.com/dailydotdev/daily
checkly,headless-recorder,15000,https://github.com/checkly/headless-recorder
gildas-lormeau,SingleFile,14300,https://github.com/gildas-lormeau/SingleFile
unbug,codelf,14000,https://github.com/unbug/codelf
immersive-translate,immersive-translate,13600,https://github.com/immersive-translate/immersive-translate
wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,12300,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,11800,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,11200,https://github.com/listen1/listen1_chrome_extension
alyssaxuu,screenity,11100,https://github.com/alyssaxuu/screenity
AutomaApp,automa,10700,https://github.com/AutomaApp/automa
chathub-dev,chathub,9700,https://github.com/chathub-dev/chathub
josStorer,chatGPTBox,9700,https://github.com/josStorer/chatGPTBox
ajayyy,SponsorBlock,9200,https://github.com/ajayyy/SponsorBlock
PlasmoHQ,plasmo,8700,https://github.com/PlasmoHQ/plasmo
