Username,Repo_Name,Stars,Repo_url
realm,SwiftLint,18400,https://github.com/realm/SwiftLint
facebook,infer,14800,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,13000,https://github.com/analysis-tools-dev/static-analysis
federico-busato,Modern-CPP-Programming,11300,https://github.com/federico-busato/Modern-CPP-Programming
Kristories,awesome-guidelines,9600,https://github.com/Kristories/awesome-guidelines
super-linter,super-linter,9300,https://github.com/super-linter/super-linter
SonarSource,sonarqube,8700,https://github.com/SonarSource/sonarqube
checkstyle,checkstyle,8200,https://github.com/checkstyle/checkstyle
reviewdog,reviewdog,7500,https://github.com/reviewdog/reviewdog
facebook,pyre-check,6700,https://github.com/facebook/pyre-check
detekt,detekt,6100,https://github.com/detekt/detekt
trekhleb,state-of-the-art-shitcode,5500,https://github.com/trekhleb/state-of-the-art-shitcode
import-js,eslint-plugin-import,5400,https://github.com/import-js/eslint-plugin-import
pylint-dev,pylint,5200,https://github.com/pylint-dev/pylint
simplecov-ruby,simplecov,4700,https://github.com/simplecov-ruby/simplecov
pmd,pmd,4700,https://github.com/pmd/pmd
kucherenko,jscpd,4600,https://github.com/kucherenko/jscpd
phpro,grumphp,4100,https://github.com/phpro/grumphp
htmlhint,HTMLHint,3100,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2500,https://github.com/codeclimate/codeclimate
