Username,Repo_Name,Stars,Repo_url
ovity,octotree,22700,https://github.com/ovity/octotree
gitpod-io,gitpod,12500,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,7500,https://github.com/reviewdog/reviewdog
danger,danger,5400,https://github.com/danger/danger
danger,danger-js,5200,https://github.com/danger/danger-js
Codium-ai,pr-agent,4700,https://github.com/Codium-ai/pr-agent
joho,awesome-code-review,4300,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2400,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2300,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,2100,https://github.com/crev-dev/cargo-crev
houndci,hound,1900,https://github.com/houndci/hound
mbj,mutant,1900,https://github.com/mbj/mutant
Tencent,CodeAnalysis,1600,https://github.com/Tencent/CodeAnalysis
reviewboard,reviewboard,1500,https://github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1500,https://github.com/ryanmcdermott/code-review-tips
coderabbitai,ai-pr-reviewer,1400,https://github.com/coderabbitai/ai-pr-reviewer
mattzcarey,code-review-gpt,1400,https://github.com/mattzcarey/code-review-gpt
bit4woo,python_sec,1300,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1300,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,960,https://github.com/jiangsir404/Audit-Learning
