Username,Repo_Name,Stars,Repo_url
ohmyzsh,ohmyzsh,170000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,61500,https://github.com/junegunn/fzf
sherlock-project,sherlock,52400,https://github.com/sherlock-project/sherlock
jesseduffield,lazygit,47700,https://github.com/jesseduffield/lazygit
sharkdp,bat,47500,https://github.com/sharkdp/bat
BurntSushi,ripgrep,46000,https://github.com/BurntSushi/ripgrep
wagoodman,dive,44400,https://github.com/wagoodman/dive
google,zx,42200,https://github.com/google/zx
n8n-io,n8n,42100,https://github.com/n8n-io/n8n
chubin,cheat.sh,37800,https://github.com/chubin/cheat.sh
spf13,cobra,36700,https://github.com/spf13/cobra
cli,cli,36000,https://github.com/cli/cli
httpie,cli,32600,https://github.com/httpie/cli
sharkdp,fd,32400,https://github.com/sharkdp/fd
alebcay,awesome-shell,31800,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,30300,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,28000,https://github.com/acheong08/ChatGPT
tqdm,tqdm,27800,https://github.com/tqdm/tqdm
angular,angular-cli,26700,https://github.com/angular/angular-cli
google,python-fire,26500,https://github.com/google/python-fire
