Username,Repo_Name,Stars,Repo_url
vercel,next.js,122000,https://github.com/vercel/next.js
rust-lang,rust,94500,https://github.com/rust-lang/rust
sveltejs,svelte,77300,https://github.com/sveltejs/svelte
webpack,webpack,64300,https://github.com/webpack/webpack
FuelLabs,sway,63000,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55100,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,48200,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,43200,https://github.com/parcel-bundler/parcel
babel,babel,43000,https://github.com/babel/babel
evanw,esbuild,37600,https://github.com/evanw/esbuild
vlang,v,35500,https://github.com/vlang/v
carbon-language,carbon-lang,32299,https://github.com/carbon-language/carbon-lang
markedjs,marked,32299,https://github.com/markedjs/marked
ziglang,zig,31800,https://github.com/ziglang/zig
swc-project,swc,30400,https://github.com/swc-project/swc
typst,typst,29600,https://github.com/typst/typst
vercel,pkg,24200,https://github.com/vercel/pkg
v8,v8,22900,https://github.com/v8/v8
oracle,graal,20000,https://github.com/oracle/graal
crystal-lang,crystal,19200,https://github.com/crystal-lang/crystal
